metric,value
center_bank.reference_pool_ids[555],2515
center_bank.reference_pool_ids[556],3609
center_bank.reference_pool_ids[557],2410
center_bank.reference_pool_ids[558],2934
center_bank.reference_pool_ids[559],3465
center_bank.reference_pool_ids[560],3888
center_bank.reference_pool_ids[561],2659
center_bank.reference_pool_ids[562],1673
center_bank.reference_pool_ids[563],2830
center_bank.reference_pool_ids[564],2680
center_bank.reference_pool_ids[565],3428
center_bank.reference_pool_ids[566],2745
center_bank.reference_pool_ids[567],2322
center_bank.reference_pool_ids[568],1808
center_bank.reference_pool_ids[569],1269
center_bank.reference_pool_ids[570],567
center_bank.reference_pool_ids[571],783
center_bank.reference_pool_ids[572],3457
center_bank.reference_pool_ids[573],238
center_bank.reference_pool_ids[574],685
center_bank.reference_pool_ids[575],1611
center_bank.reference_pool_ids[576],420
center_bank.reference_pool_ids[577],2613
center_bank.reference_pool_ids[578],1102
center_bank.reference_pool_ids[579],3459
center_bank.reference_pool_ids[580],1803
center_bank.reference_pool_ids[581],3615
center_bank.reference_pool_ids[582],3619
center_bank.reference_pool_ids[583],2862
center_bank.reference_pool_ids[584],2579
center_bank.reference_pool_ids[585],1741
center_bank.reference_pool_ids[586],2251
center_bank.reference_pool_ids[587],3095
center_bank.reference_pool_ids[588],1009
center_bank.reference_pool_ids[589],1589
center_bank.reference_pool_ids[590],3537
center_bank.reference_pool_ids[591],2712
center_bank.reference_pool_ids[592],3134
center_bank.reference_pool_ids[593],283
center_bank.reference_pool_ids[594],1789
center_bank.reference_pool_ids[595],1705
center_bank.reference_pool_ids[596],1707
center_bank.reference_pool_ids[597],3113
center_bank.reference_pool_ids[598],176
center_bank.reference_pool_ids[599],579
center_bank.reference_pool_ids[600],1887
center_bank.reference_pool_ids[601],373
center_bank.reference_pool_ids[602],1811
center_bank.reference_pool_ids[603],566
center_bank.reference_pool_ids[604],3482
center_bank.reference_pool_ids[605],2632
center_bank.reference_pool_ids[606],690
center_bank.reference_pool_ids[607],1015
center_bank.reference_pool_ids[608],708
center_bank.reference_pool_ids[609],353
center_bank.reference_pool_ids[610],2538
center_bank.reference_pool_ids[611],303
center_bank.reference_pool_ids[612],655
center_bank.reference_pool_ids[613],2677
center_bank.reference_pool_ids[614],1476
center_bank.reference_pool_ids[615],1782
center_bank.reference_pool_ids[616],1875
center_bank.reference_pool_ids[617],583
center_bank.reference_pool_ids[618],2690
center_bank.reference_pool_ids[619],1521
center_bank.reference_pool_ids[620],540
center_bank.reference_pool_ids[621],1007
center_bank.reference_pool_ids[622],2833
center_bank.reference_pool_ids[623],2032
center_bank.reference_pool_ids[624],3697
center_bank.reference_pool_ids[625],1209
center_bank.reference_pool_ids[626],2986
center_bank.reference_pool_ids[627],913
center_bank.reference_pool_ids[628],2237
center_bank.reference_pool_ids[629],3639
center_bank.reference_pool_ids[630],77
center_bank.reference_pool_ids[631],1699
center_bank.reference_pool_ids[632],2005
center_bank.reference_pool_ids[633],3408
